Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
533,-55.2668
534,-55.5935
535,-55.26
536,-55.4997
537,-55.4089
538,-55.2705
539,-54.8773
540,-54.6092
541,-55.2816
542,-55.1076
543,-54.9962
544,-54.802
545,-54.9936
546,-55.1221
547,-54.8115
548,-54.727
549,-54.8518
550,-54.8586
551,-54.6133
552,-54.7344
553,-54.6218
554,-54.6272
555,-54.7108
556,-54.7298
557,-54.7894
558,-54.5566
559,-55.0378
560,-54.2043
561,-54.6966
562,-53.9388
563,-54.9296
564,-54.4315
565,-54.7697
566,-53.861
567,-54.9549
568,-54.7068
569,-54.3416
570,-53.9488
571,-54.1529
572,-54.1068
573,-54.3817
574,-54.0207
575,-54.3617
576,-53.6613
577,-54.4814
578,-54.3051
579,-54.2788
580,-54.4583
581,-54.1865
582,-54.0568
583,-54.5378
584,-53.7608
585,-54.2812
586,-54.2591
587,-53.6611
588,-53.9136
589,-54.1377
590,-54.1485
591,-54.3683
592,-53.5349
593,-53.5713
594,-54.3467
595,-54.0302
596,-53.4975
597,-53.2237
598,-53.6878
599,-53.4394
600,-53.4368
601,-53.4602
602,-53.8659
603,-53.4559
604,-53.5766
605,-53.5607
606,-53.4821
607,-53.5378
608,-53.3284
609,-53.531
610,-53.1317
611,-53.1342
612,-53.1966
613,-53.1729
614,-53.4761
615,-52.8583
616,-53.683
617,-53.0239
618,-53.5018
619,-52.8187
620,-53.2535
621,-53.1118
622,-52.8296
623,-52.673
624,-53.3244
625,-52.9209
626,-52.6508
627,-52.5178
628,-52.6331
629,-52.7656
630,-53.0479
631,-53.2296
632,-52.5416
633,-52.918
634,-53.2748
635,-52.6253
636,-53.2349
637,-52.4286
638,-52.5716
639,-52.9124
640,-52.6814
641,-52.6702
642,-52.333
643,-52.5389
644,-52.5801
645,-52.422
646,-52.0998
647,-52.8036
648,-52.4001
649,-52.832
650,-52.2521
651,-52.1917
652,-52.7597
653,-52.1254
654,-51.7422
655,-52.0463
656,-52.4511
657,-52.0752
658,-51.9935
659,-52.4897
660,-52.4812
661,-52.2105
662,-51.8606
663,-51.7946
664,-52.3865
665,-51.9996
666,-52.0529
667,-52.2947
668,-51.7598
669,-51.6019
670,-52.5211
671,-52.0182
672,-51.8036
673,-52.3206
674,-51.8014
675,-51.4327
676,-52.4603
677,-51.5098
678,-51.8988
679,-51.5105
680,-52.4551
681,-52.0114
682,-51.9095
683,-52.0298
684,-51.9338
685,-51.2014
686,-52.2835
687,-51.7031
688,-51.5827
689,-51.9308
690,-51.4018
691,-51.3098
692,-50.9476
693,-51.1443
694,-51.754
695,-51.4918
696,-51.2964
697,-51.1152
698,-51.7339
699,-51.4459
700,-51.0919
701,-51.5776
702,-51.5976
703,-51.4655
704,-51.5671
705,-50.9979
706,-51.5683
707,-51.372
708,-51.0311
709,-51.4647
710,-51.151
711,-51.111
712,-51.6734
713,-50.9588
714,-50.7983
715,-50.6779
716,-50.579
717,-51.4606
718,-50.5558
719,-51.2303
720,-51.4617
721,-50.9328
722,-50.8221
723,-51.066
724,-51.0894
725,-50.5506
726,-50.5535
727,-50.637
728,-51.589
729,-51.1035
730,-50.7253
731,-50.6691
732,-50.7968
733,-50.6211
734,-50.786
735,-50.6649
736,-50.551
737,-51.2727
738,-50.9338
739,-50.5547
740,-50.7815
741,-50.8064
742,-50.7544
743,-50.7967
744,-50.3455
745,-50.6667
746,-51.0744
747,-50.7187
748,-50.4592
749,-50.4795
750,-50.242
751,-50.74
752,-50.4766
753,-50.4891
754,-50.5952
755,-50.444
756,-50.4775
757,-50.4531
758,-50.678
759,-50.0694
760,-50.1992
761,-50.525
762,-50.0231
763,-50.2712
764,-49.9739
765,-50.4712
766,-50.5949
767,-50.4225
768,-49.8948
769,-50.2374
770,-50.1051
771,-50.1763
772,-50.2731
773,-49.9536
774,-50.0877
775,-50.4875
776,-50.3408
777,-50.1996
778,-49.9971
779,-50.0946
780,-49.6628
781,-49.8731
782,-49.3356
783,-49.6591
784,-49.7635
785,-49.9111
786,-50.1153
787,-49.957
788,-50.0179
789,-49.557
790,-49.3891
791,-50.154
792,-49.7984
793,-49.6853
794,-50.0225
795,-49.9082
796,-48.8595
797,-49.4203
798,-49.4833
799,-49.4496
800,-49.396
801,-49.7262
802,-49.5949
803,-49.116
804,-49.2691
805,-49.2535
806,-49.1281
807,-50.1144
808,-49.2711
809,-49.6365
810,-50.2345
811,-49.8599
812,-49.5292
813,-49.3918
814,-49.1069
815,-48.7659
816,-49.5737
817,-49.2616
818,-49.3411
819,-49.7045
820,-49.6319
821,-49.6221
822,-49.2242
823,-49.2393
824,-49.0385
825,-49.6663
826,-48.8829
827,-49.4881
828,-49.3551
829,-49.3613
830,-49.1264
831,-48.9377
832,-49.1799
833,-49.0145
834,-49.1048
835,-48.813
836,-49.6437
837,-48.7158
838,-49.051
839,-49.2052
840,-49.1673
841,-49.1949
842,-48.9741
843,-49.1948
844,-49.3906
845,-48.7412
846,-48.8503
847,-49.0502
848,-48.8621
849,-48.929
850,-48.6447
851,-49.0941
852,-48.5823
853,-48.8896
854,-48.7518
855,-48.833
856,-48.6602
857,-48.4186
858,-48.6134
859,-49.21
860,-48.5165
861,-48.483
862,-48.482
863,-48.9057
864,-48.939
865,-49.3891
866,-48.4218
867,-48.6626
868,-48.7576
869,-48.4591
870,-49.0959
871,-47.9362
872,-48.9194
873,-48.2863
874,-48.3325
875,-48.6976
876,-48.1233
877,-47.9961
878,-48.6338
879,-48.5394
880,-48.3505
881,-49.069
882,-48.7772
883,-48.4484
884,-48.9057
885,-48.2534
886,-48.7015
887,-48.2946
888,-48.0735
889,-48.2786
890,-48.2261
891,-48.2667
892,-48.5311
893,-47.8386
894,-48.3367
895,-48.6844
896,-48.4984
897,-48.5987
898,-48.4467
899,-48.241
900,-48.1346
901,-48.2167
902,-48.8622
903,-48.3077
904,-48.4012
905,-47.9808
906,-48.3819
907,-48.3353
908,-48.1018
909,-48.0838
910,-48.3645
911,-47.8438
912,-48.4443
913,-48.2827
914,-48.1474
915,-48.2735
916,-47.6438
917,-47.9107
918,-48.2156
919,-48.0196
920,-48.3634
921,-48.2651
922,-47.8831
923,-48.0731
924,-48.0347
925,-48.0522
926,-48.2757
927,-47.6759
928,-47.8183
929,-47.8728
930,-47.7517
931,-47.4974
932,-47.5392
933,-48.0409
934,-47.8876
935,-47.583
936,-47.8485
937,-48.107
938,-47.64
939,-47.5697
940,-47.7944
941,-47.6492
942,-48.2834
943,-47.7569
944,-48.0359
945,-47.5987
946,-47.936
947,-47.993
948,-47.3855
949,-47.8975
950,-47.7369
951,-47.6535
952,-47.9347
953,-48.1642
954,-47.4756
955,-47.9429
956,-48.2258
957,-47.5948
958,-47.8035
959,-47.6084
960,-47.7819
961,-47.0093
962,-47.2302
963,-48.2202
964,-47.7142
965,-47.3881
966,-47.3591
967,-47.915
968,-47.4502
969,-47.4904
970,-47.0984
971,-47.5582
972,-47.3564
973,-47.1729
974,-47.5976
975,-47.4863
976,-47.713
977,-47.7523
978,-47.3271
979,-47.4819
980,-48.0552
981,-47.5504
982,-47.4787
983,-47.1208
984,-47.6707
985,-47.2069
986,-46.9899
987,-47.3547
988,-47.1783
989,-47.2206
990,-47.0763
991,-47.7661
992,-47.3883
993,-47.0224
994,-47.0491
995,-47.2432
996,-47.2597
997,-47.5017
998,-47.4761
999,-47.436
1000,-47.4849
1001,-47.0456
1002,-47.22
1003,-46.6266
1004,-47.3702
1005,-47.3039
1006,-46.8997
1007,-46.9522
1008,-47.4976
1009,-47.827
1010,-47.3323
1011,-47.2662
1012,-47.5324
1013,-47.3874
1014,-46.9847
1015,-46.9467
1016,-47.635
1017,-47.4527
1018,-46.6283
1019,-47.2422
1020,-46.8324
1021,-47.4148
1022,-47.4051
1023,-47.2375
1024,-47.0238
1025,-47.2795
1026,-47.2605
1027,-46.7195
1028,-46.9063
1029,-46.725
1030,-47.1539
1031,-46.7193
1032,-47.2516
1033,-47.2544
1034,-47.0379
1035,-47.0265
1036,-46.8752
1037,-47.2268
1038,-47.1544
1039,-46.7966
1040,-47.2531
1041,-46.8514
1042,-46.9278
1043,-47.0438
1044,-46.9626
1045,-46.9451
1046,-47.0271
1047,-46.9155
1048,-47.4046
1049,-46.6923
1050,-47.0372
1051,-47.3106
1052,-46.9206
1053,-47.2682
1054,-47.1141
1055,-46.9291
1056,-47.1167
1057,-46.8937
1058,-46.7378
1059,-46.7945
1060,-46.5858
1061,-46.4582
1062,-46.5202
1063,-46.5689
1064,-46.9469
1065,-46.7498
1066,-47.164
1067,-46.7807
1068,-46.6663
1069,-46.3728
1070,-46.3433
1071,-46.2813
1072,-47.0582
1073,-46.8698
1074,-46.752
1075,-46.6461
1076,-46.6424
1077,-46.4257
1078,-46.3579
1079,-46.7098
1080,-46.3405
1081,-46.7166
1082,-46.824
1083,-46.5177
1084,-46.2179
1085,-46.4694
1086,-46.7165
1087,-46.8571
1088,-46.21
1089,-46.6322
1090,-46.9641
1091,-46.4557
1092,-46.7573
1093,-46.8241
1094,-46.1563
1095,-46.4418
1096,-46.3341
1097,-47.3225
1098,-46.1203
1099,-46.6324
1100,-47.1389
1101,-46.3237
1102,-46.0588
1103,-46.6623
1104,-46.149
1105,-46.2487
1106,-46.6746
1107,-47.1433
1108,-46.2508
1109,-46.1653
1110,-46.7769
1111,-46.7014
1112,-46.1726
1113,-46.22
1114,-46.3619
1115,-46.1292
1116,-46.784
1117,-46.5887
1118,-46.1413
1119,-46.5941
1120,-46.1853
1121,-46.8089
1122,-46.8236
1123,-46.5393
1124,-46.2268
1125,-46.3836
1126,-46.227
1127,-46.1976
1128,-46.1394
1129,-46.4447
1130,-46.2083
1131,-46.6644
1132,-46.3406
1133,-46.2169
1134,-46.1517
1135,-46.346
1136,-46.2971
1137,-46.3418
1138,-46.2104
1139,-46.4382
1140,-46.1441
1141,-46.7496
1142,-46.4768
1143,-46.3271
1144,-46.0676
1145,-45.6759
1146,-46.1359
1147,-46.1638
1148,-46.1929
1149,-46.3234
1150,-46.8999
1151,-46.5681
1152,-46.6346
1153,-46.0108
1154,-46.0725
1155,-45.7059
1156,-45.9874
1157,-46.0697
1158,-45.9736
1159,-46.55
1160,-45.8981
1161,-46.5199
1162,-46.0709
1163,-46.2172
1164,-45.9476
1165,-46.3638
1166,-45.6323
1167,-45.9517
1168,-45.7591
1169,-46.2935
1170,-46.3163
1171,-46.6036
1172,-46.2026
1173,-46.2482
1174,-45.7779
1175,-45.9495
1176,-46.3464
1177,-45.7566
1178,-46.0642
1179,-46.107
1180,-45.846
1181,-45.7105
1182,-45.8255
1183,-46.1061
1184,-45.8938
1185,-46.3063
1186,-46.1208
1187,-45.9938
1188,-45.9812
1189,-45.6852
1190,-46.2415
1191,-45.8679
1192,-45.8713
1193,-45.5904
1194,-45.7495
1195,-46.5221
1196,-46.2564
1197,-45.955
1198,-45.8894
1199,-45.9975
1200,-45.5346
1201,-45.9521
1202,-46.4333
1203,-46.0658
1204,-46.0626
1205,-45.6395
1206,-45.5781
1207,-45.402
1208,-45.7913
1209,-45.6936
1210,-46.2149
1211,-45.8675
1212,-46.0228
1213,-45.5344
1214,-45.8999
1215,-45.6559
1216,-46.0087
1217,-46.1598
1218,-45.6677
1219,-45.8937
1220,-45.6688
1221,-46.0455
1222,-45.8496
1223,-45.4962
1224,-46.2246
1225,-45.8702
1226,-45.9209
1227,-45.5416
1228,-45.8462
1229,-46.0365
1230,-45.1745
1231,-45.6141
1232,-45.7734
1233,-46.19
1234,-45.9431
1235,-45.6859
1236,-45.8602
1237,-45.8084
1238,-46.2126
1239,-45.6191
1240,-46.3467
1241,-45.4752
1242,-46.3495
1243,-45.7954
1244,-45.7765
1245,-45.9206
1246,-45.5078
1247,-45.8387
1248,-46.1001
1249,-45.6757
1250,-45.6662
1251,-46.1843
1252,-45.9902
1253,-45.5608
1254,-45.6005
1255,-45.8403
1256,-45.8626
1257,-45.6917
1258,-45.5213
1259,-46.1152
1260,-45.1974
1261,-46.0415
1262,-45.9494
1263,-46.1159
1264,-45.3868
1265,-45.948
1266,-45.5221
1267,-46.0865
1268,-45.8332
1269,-45.567
1270,-45.9555
1271,-45.3989
1272,-45.8196
1273,-45.2278
1274,-45.9121
1275,-45.4558
1276,-45.6831
1277,-45.7963
1278,-46.1908
1279,-45.5597
1280,-45.7254
1281,-46.0272
1282,-45.3335
1283,-45.387
1284,-45.7028
1285,-45.494
1286,-45.2529
1287,-45.6293
1288,-45.2476
1289,-45.2189
1290,-46.3614
1291,-45.6403
1292,-45.8768
1293,-45.7271
1294,-45.4539
1295,-46.2534
1296,-45.6002
1297,-45.9763
1298,-45.539
1299,-45.5339
1300,-46.1574
1301,-45.943
1302,-45.8525
1303,-45.5532
1304,-45.5092
1305,-46.3091
1306,-45.8853
1307,-45.2685
1308,-45.7978
1309,-45.7692
1310,-45.6447
1311,-45.6646
1312,-45.3932
1313,-45.9833
1314,-45.3732
1315,-45.6096
1316,-45.3327
1317,-45.6618
1318,-45.6999
1319,-45.6697
1320,-45.6832
1321,-45.6132
1322,-45.7784
1323,-45.8765
1324,-45.1515
1325,-45.617
1326,-45.1653
1327,-45.3729
1328,-45.6202
1329,-45.2909
1330,-46.5513
1331,-45.521
1332,-45.6102
1333,-45.8263
1334,-45.2401
1335,-45.7007
1336,-45.3811
1337,-45.4574
1338,-45.6243
1339,-45.3053
1340,-45.6074
1341,-45.6096
1342,-45.9205
1343,-45.5524
1344,-45.5343
1345,-45.8684
1346,-45.1801
1347,-45.6265
1348,-45.2096
1349,-45.2366
1350,-45.6377
1351,-46.1869
1352,-45.8293
1353,-45.5614
1354,-45.5639
1355,-45.3283
1356,-45.2016
1357,-45.3077
1358,-45.8532
1359,-45.6262
1360,-45.6293
1361,-45.1144
1362,-45.327
1363,-45.8729
1364,-45.2954
1365,-45.8876
1366,-45.6398
1367,-45.4487
1368,-45.3747
1369,-45.8041
1370,-45.3629
1371,-45.2706
1372,-45.4404
1373,-45.8504
1374,-45.1267
1375,-46.0834
1376,-44.9517
1377,-45.602
1378,-45.4331
1379,-45.4507
1380,-45.6009
1381,-45.694
1382,-44.8786
1383,-44.9793
1384,-45.3526
1385,-45.4193
1386,-44.9107
1387,-45.3789
1388,-44.8656
1389,-45.353
1390,-45.2087
1391,-44.8167
1392,-44.9538
1393,-45.5417
1394,-44.7986
1395,-45.3392
1396,-44.7616
1397,-45.2733
1398,-45.6939
1399,-45.6224
1400,-44.7969
1401,-44.9204
1402,-44.6887
1403,-45.3069
1404,-45.0273
1405,-45.2827
1406,-45.2762
1407,-45.1421
1408,-45.2489
1409,-45.4381
1410,-45.5455
1411,-45.3652
1412,-45.4505
1413,-45.325
