Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
866,-44.2166
867,-44.216
868,-44.024
869,-44.4796
870,-44.3073
871,-44.5347
872,-43.942
873,-44.3629
874,-44.7524
875,-44.7842
876,-44.1969
877,-44.3439
878,-44.1996
879,-44.5327
880,-44.1455
881,-44.3579
882,-43.822
883,-44.3238
884,-44.1149
885,-44.2936
886,-44.6141
887,-44.5977
888,-44.2881
889,-44.2095
890,-44
891,-44.5942
892,-44.2675
893,-44.5382
894,-44.2755
895,-44.0546
896,-44.2367
897,-44.226
898,-44.1039
899,-44.2968
900,-43.9101
901,-44.5359
902,-44.2803
903,-43.8898
904,-44.3996
905,-44.056
906,-43.894
907,-43.7458
908,-44.3075
909,-44.0851
910,-44.5365
911,-44.5306
912,-44.4005
913,-44.9
914,-43.8651
915,-44.4507
916,-44.5638
917,-43.9617
918,-44.2243
919,-43.789
920,-44.3036
921,-44.662
922,-44.3192
923,-44.3861
924,-44.3424
925,-44.4283
926,-44.9387
927,-44.1506
928,-44.0023
929,-44.5402
930,-44.5148
931,-43.8211
932,-44.3754
933,-44.0964
934,-44.59
935,-44.3079
936,-44.0379
937,-44.2845
938,-43.8478
939,-43.9829
940,-44.0496
941,-44.1136
942,-44.3339
943,-44.6016
944,-44.5915
945,-44.041
946,-44.8219
947,-44.3028
948,-44.4131
949,-44.7248
950,-44.2561
951,-44.5681
952,-44.2335
953,-44.4756
954,-43.9831
955,-43.9727
956,-44.7615
957,-44.6491
958,-44.2067
959,-44.8316
960,-44.7222
961,-44.449
962,-44.2426
963,-43.9511
964,-44.4392
965,-44.2226
966,-44.1286
967,-44.5473
968,-43.9612
969,-44.1501
970,-44.1359
971,-44.4812
972,-44.7563
973,-44.109
974,-44.3594
975,-44.0118
976,-44.5429
977,-44.2636
978,-44.1609
979,-44.2709
980,-43.773
981,-44.1962
982,-43.9542
983,-44.0898
984,-44.7834
985,-44.3257
986,-44.2449
987,-44.3882
988,-44.0954
989,-44.7041
990,-44.4948
991,-44.012
992,-44.6951
993,-44.5279
994,-44.5115
995,-44.5146
996,-44.2595
997,-44.1038
998,-44.3766
999,-44.449
1000,-44.0114
1001,-43.9678
1002,-44.2653
1003,-44.4863
1004,-44.0716
1005,-44.3803
1006,-44.165
1007,-44.168
1008,-44.6449
1009,-44.0369
1010,-43.9842
1011,-44.3249
1012,-43.8563
1013,-44.4108
1014,-43.9848
1015,-44.1736
1016,-43.6692
1017,-44.1622
1018,-43.981
1019,-44.1711
1020,-44.4135
1021,-44.5373
1022,-44.577
1023,-44.2104
1024,-44.3295
1025,-43.93
1026,-44.733
1027,-44.0458
1028,-44.3978
1029,-44.4724
1030,-43.9134
1031,-44.2327
1032,-44.622
1033,-44.371
1034,-44.0928
1035,-44.2938
1036,-44.2721
1037,-44.262
1038,-44.3354
1039,-44.7902
1040,-44.5989
1041,-43.8726
1042,-44.2529
1043,-44.1784
1044,-44.2282
1045,-44.4129
1046,-44.2557
1047,-44.5903
1048,-44.4424
1049,-44.1767
1050,-44.5026
1051,-44.5765
1052,-44.3036
1053,-43.9944
1054,-44.1035
1055,-43.905
1056,-43.9225
1057,-44.2202
1058,-44.6043
1059,-44.2438
1060,-44.3487
1061,-44.6934
1062,-44.8325
1063,-44.9935
1064,-44.4073
1065,-44.3383
1066,-43.9676
1067,-44.415
1068,-43.6079
1069,-44.4445
1070,-44.3119
1071,-44.0365
1072,-44.0627
1073,-43.8843
1074,-44.244
1075,-44.4526
1076,-44.2599
1077,-44.241
1078,-44.4819
1079,-44.6697
1080,-44.252
1081,-44.4039
1082,-44.0169
1083,-44.0128
1084,-44.547
1085,-44.6839
1086,-44.2222
1087,-44.0872
1088,-44.6447
1089,-44.0752
1090,-44.5032
1091,-43.9873
1092,-44.6454
1093,-44.233
1094,-44.2867
1095,-44.1767
1096,-44.3764
1097,-44.4915
1098,-43.966
1099,-44.3669
1100,-43.9593
1101,-43.9988
1102,-44.4129
1103,-44.4651
1104,-44.5765
1105,-44.4641
1106,-44.3114
1107,-44.999
1108,-44.2459
1109,-44.1996
1110,-43.7088
1111,-44.2784
1112,-44.7247
1113,-44.1691
1114,-44.2431
1115,-43.8622
1116,-44.3219
1117,-44.6465
1118,-44.6508
1119,-44.1518
1120,-44.3691
1121,-44.8508
1122,-44.5579
1123,-44.4828
1124,-44.288
1125,-44.4268
1126,-44.5783
1127,-44.0166
1128,-44.5581
1129,-44.5328
1130,-44.7601
1131,-44.1269
1132,-44.1933
1133,-44.2603
1134,-44.2415
1135,-43.9612
1136,-44.7599
1137,-44.391
1138,-44.2125
1139,-44.2129
1140,-43.7418
1141,-44.0527
1142,-44.5952
1143,-44.0727
1144,-44.377
1145,-44.0191
1146,-44.4005
1147,-44.1872
1148,-44.7847
1149,-44.2586
1150,-44.3702
1151,-44.5419
1152,-44.4243
1153,-44.9144
1154,-44.4526
1155,-44.1827
1156,-44.5413
1157,-43.7615
1158,-44.4648
1159,-44.624
1160,-44.6361
1161,-44.6875
1162,-44.1289
1163,-44.0573
1164,-44.2844
1165,-44.7443
1166,-44.6392
1167,-44.3959
1168,-44.4961
1169,-44.5148
1170,-44.2435
1171,-44.568
1172,-44.3041
1173,-44.4743
1174,-44.3588
1175,-43.9646
1176,-44.2674
1177,-44.6157
1178,-44.1671
1179,-44.5367
1180,-44.0869
1181,-44.4701
1182,-44.6618
1183,-44.5283
1184,-44.2843
1185,-44.2419
1186,-44.8631
1187,-44.0862
1188,-44.5264
1189,-44.6017
1190,-44.2376
1191,-44.4617
1192,-44.3509
1193,-43.9843
1194,-44.563
1195,-44.4206
1196,-44.3571
1197,-44.2979
1198,-44.3065
1199,-44.0695
1200,-44.0783
1201,-44.285
1202,-44.3287
1203,-44.3598
1204,-44.3096
1205,-44.4132
1206,-44.2351
1207,-44.5796
1208,-44.3113
1209,-44.4177
1210,-44.1839
1211,-44.3027
1212,-44.3871
1213,-44.7258
1214,-43.772
1215,-44.099
1216,-44.3231
1217,-44.0504
1218,-44.3393
1219,-44.0746
1220,-44.2691
1221,-44.5929
1222,-43.7584
1223,-44.4214
1224,-44.2243
1225,-44.163
1226,-44.0697
1227,-44.5824
1228,-44.2121
1229,-44.5441
1230,-44.4034
1231,-43.625
1232,-44.0728
1233,-43.8648
1234,-43.9404
1235,-44.1598
1236,-44.2888
1237,-45.1609
1238,-44.2245
1239,-44.5817
1240,-43.6216
1241,-44.9655
