Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
890,-53.7734
891,-53.6662
892,-53.6855
893,-53.7685
894,-53.4463
895,-53.6667
896,-52.9422
897,-53.5148
898,-53.2878
899,-53.6275
900,-53.4323
901,-54.0143
902,-53.6038
903,-53.4191
904,-53.8151
905,-53.8202
906,-53.0895
907,-53.8445
908,-54.1134
909,-53.4124
910,-53.8351
911,-53.418
912,-53.3626
913,-53.5958
914,-53.5246
915,-53.8705
916,-53.6384
917,-53.4149
918,-53.1194
919,-53.9212
920,-53.3129
921,-53.2186
922,-53.9574
923,-53.6093
924,-53.5202
925,-53.241
926,-53.7139
927,-53.3175
928,-53.3147
929,-53.467
930,-53.427
931,-53.3798
932,-52.907
933,-53.5115
934,-53.1944
935,-53.2476
936,-53.1582
937,-53.6664
938,-52.605
939,-53.7848
940,-53.6912
941,-53.7375
942,-53.578
943,-53.5301
944,-53.7431
945,-53.2229
946,-53.5446
947,-52.9724
948,-53.084
949,-53.2589
950,-53.5498
951,-53.3789
952,-53.7951
953,-53.4699
954,-53.7423
955,-53.3754
956,-53.0498
957,-53.5828
958,-53.3005
959,-53.2953
960,-53.0398
961,-53.5373
962,-53.7947
963,-53.5935
964,-52.9473
965,-53.5059
966,-53.5704
967,-53.3012
968,-53.849
969,-53.8109
970,-53.5696
971,-53.5074
972,-53.8844
973,-53.5393
974,-53.7041
975,-52.9608
976,-53.582
977,-53.0893
978,-53.676
979,-53.5777
980,-53.5117
981,-53.1686
982,-52.8276
983,-53.2046
984,-53.204
985,-53.6058
986,-53.5232
987,-53.4499
988,-53.7113
989,-53.5351
990,-53.7371
991,-53.3035
992,-53.5847
993,-53.0811
994,-53.4273
995,-53.1138
996,-53.3364
997,-54.04
998,-53.3239
999,-52.9232
1000,-53.7979
1001,-53.2564
1002,-53.5407
1003,-52.7595
1004,-53.082
1005,-53.5289
1006,-53.163
1007,-53.5365
1008,-53.3972
1009,-53.0747
1010,-53.1667
1011,-53.1084
1012,-53.6695
1013,-52.9569
1014,-53.061
1015,-53.2805
1016,-53.6786
1017,-53.5392
1018,-53.9939
1019,-53.3217
1020,-53.0822
1021,-53.1089
1022,-53.7757
1023,-53.0775
1024,-53.0998
1025,-53.1701
1026,-53.3253
1027,-53.2914
1028,-53.5022
1029,-53.6767
1030,-53.4845
1031,-53.1591
1032,-53.0315
1033,-53.202
1034,-53.4337
1035,-53.4924
1036,-52.6607
1037,-53.4444
1038,-53.6349
1039,-52.759
1040,-54.0415
1041,-53.3032
1042,-53.321
1043,-53.3622
1044,-52.8568
1045,-53.7737
1046,-53.456
1047,-53.6949
1048,-53.2585
1049,-52.9873
1050,-53.148
1051,-53.2299
1052,-53.3946
1053,-53.4311
1054,-52.73
1055,-54.0106
1056,-53.3311
1057,-53.4426
1058,-53.6635
1059,-53.2937
1060,-52.8662
1061,-53.191
1062,-53.5531
1063,-53.1601
1064,-53.2048
1065,-53.3972
1066,-53.8564
1067,-53.2885
1068,-52.9102
1069,-52.9856
1070,-53.1902
1071,-53.0513
1072,-53.0746
1073,-53.0744
1074,-52.8297
1075,-53.2875
1076,-52.7957
1077,-53.9966
1078,-53.2075
1079,-53.5956
1080,-53.2456
1081,-52.9759
1082,-53.5015
