Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
879,-61.0321
880,-60.7472
881,-60.6887
882,-61.3484
883,-61.0699
884,-60.6523
885,-60.742
886,-61.171
887,-61.3061
888,-61.2665
889,-61.4453
890,-61.3758
891,-61.1608
892,-61.4811
893,-61.3427
894,-61.2536
895,-61.6653
896,-61.3621
897,-61.6578
898,-61.2807
899,-61.6935
900,-61.0122
901,-61.6567
902,-61.4038
903,-61.8674
904,-61.5272
905,-61.5914
906,-61.771
907,-61.8342
908,-61.5911
909,-61.6233
910,-61.6843
911,-61.391
912,-61.5447
913,-61.7162
914,-61.9534
915,-61.0597
916,-61.3141
917,-61.8005
918,-61.5977
919,-62.1058
920,-61.6039
921,-61.8065
922,-61.523
923,-61.7019
924,-61.7919
925,-61.7988
926,-61.9388
927,-62.0197
928,-62.2145
929,-61.7004
930,-61.8041
931,-61.6463
932,-62.0534
933,-62.2031
934,-62.1286
935,-62.0478
936,-62.5217
937,-62.1433
938,-62.5138
939,-61.9529
940,-62.2217
941,-61.7927
942,-61.8853
943,-62.8987
944,-62.3925
945,-61.743
946,-62.5495
947,-62.5174
948,-62.5574
949,-62.6667
950,-62.5576
951,-62.3521
952,-62.1858
953,-62.25
954,-62.2269
955,-62.3487
956,-62.2692
957,-62.2623
958,-62.464
959,-62.7439
960,-62.582
961,-62.8601
962,-63.2011
963,-63.0084
964,-62.8503
965,-62.9543
966,-62.8765
967,-62.6373
968,-63.1445
969,-62.457
970,-62.8215
971,-62.8495
972,-62.4979
973,-62.489
974,-62.4802
975,-62.7259
976,-63.2112
977,-62.6189
978,-62.835
979,-62.5586
980,-63.147
981,-62.8286
982,-62.7216
983,-62.8616
984,-62.9956
985,-62.9205
986,-62.7887
987,-63.0941
988,-62.9523
989,-62.2984
990,-63.2557
991,-63.5518
992,-63.0474
993,-63.159
994,-63.4901
995,-63.2758
996,-63.3202
997,-63.5904
998,-63.4379
999,-63.3694
1000,-62.5924
1001,-62.9718
1002,-63.0042
1003,-63.4988
1004,-62.7507
1005,-63.1225
1006,-63.4565
1007,-63.1731
1008,-63.57
1009,-63.5154
1010,-63.5536
1011,-63.3393
1012,-63.2396
1013,-63.8521
1014,-63.4528
1015,-63.3365
1016,-63.0951
1017,-63.8063
1018,-63.2078
1019,-63.1305
1020,-63.5447
1021,-63.9577
1022,-63.9739
1023,-63.8084
1024,-63.8411
1025,-63.7282
1026,-64.0318
1027,-63.757
1028,-63.2253
1029,-63.3907
1030,-63.586
1031,-63.4393
1032,-63.8952
1033,-64.539
1034,-63.511
1035,-64.2527
1036,-63.8097
1037,-63.7419
1038,-63.6665
1039,-64.0164
1040,-63.8027
1041,-63.8422
1042,-63.9223
1043,-63.9589
1044,-63.87
1045,-64.6678
1046,-64.0396
1047,-64.4774
1048,-64.386
1049,-63.9519
1050,-64.1599
1051,-64.1555
1052,-64.3966
1053,-64.4589
1054,-64.0476
1055,-63.9062
1056,-64.3374
1057,-64.3721
1058,-63.9282
1059,-64.0604
1060,-64.2435
1061,-64.456
1062,-64.4597
1063,-64.6578
1064,-64.4221
1065,-64.0346
1066,-64.3104
1067,-64.2079
1068,-64.7837
1069,-64.0224
1070,-64.699
1071,-64.3202
1072,-64.5881
1073,-64.7208
1074,-64.6593
1075,-64.7252
1076,-64.341
1077,-64.4504
1078,-64.7687
1079,-64.2147
1080,-64.0645
1081,-65.1458
1082,-64.3963
1083,-64.2022
1084,-64.7117
1085,-64.8368
1086,-64.6951
1087,-64.3385
1088,-64.2658
1089,-64.5397
1090,-65.1107
1091,-64.7188
1092,-64.346
1093,-64.7908
1094,-64.8341
1095,-64.7798
1096,-65.2188
1097,-64.4359
1098,-64.9498
1099,-64.8075
1100,-64.6749
1101,-64.5428
1102,-65.2022
1103,-64.7753
1104,-65.037
1105,-65.5578
1106,-64.6792
1107,-64.602
1108,-65.3453
1109,-64.8388
1110,-64.9391
1111,-65.2763
1112,-64.7415
1113,-65.2669
1114,-64.8542
1115,-65.0457
1116,-65.4315
1117,-65.6736
1118,-65.4934
1119,-64.967
1120,-65.0201
1121,-65.5417
1122,-65.3512
1123,-65.0831
1124,-65.2081
1125,-64.9889
1126,-65.0719
1127,-65.3087
1128,-65.4345
1129,-65.6624
1130,-65.7617
1131,-65.0329
1132,-65.132
1133,-65.6895
1134,-65.79
1135,-65.5305
1136,-65.5594
1137,-65.2916
1138,-65.7777
1139,-65.6227
1140,-65.73
1141,-65.2012
