Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
534,-44.5848
535,-45.346
536,-44.3151
537,-44.7754
538,-44.5837
539,-44.6479
540,-44.1526
541,-44.8363
542,-44.736
543,-44.3984
544,-44.4194
545,-44.9264
546,-44.4769
547,-44.9314
548,-44.2951
549,-44.3805
550,-44.5178
551,-44.5357
552,-44.9364
553,-44.411
554,-44.7596
555,-44.8477
556,-44.7951
557,-44.4091
558,-44.9888
559,-44.6399
560,-44.6196
561,-44.0306
562,-44.6252
563,-44.9792
564,-44.1742
565,-44.054
566,-44.6565
567,-44.5462
568,-44.8097
569,-44.5509
570,-45.1317
571,-44.7281
572,-45.0232
573,-44.2075
574,-44.5368
575,-44.5786
576,-44.6017
577,-44.7196
578,-45.0554
579,-44.8032
580,-44.7285
581,-44.4808
582,-45.0675
583,-44.1801
584,-44.7819
585,-44.7669
586,-44.4944
587,-44.8362
588,-44.701
589,-44.1664
590,-44.8167
591,-44.6433
592,-44.5274
593,-44.6298
594,-44.8659
595,-44.8152
596,-45.1259
597,-44.7329
598,-44.7343
599,-45.1158
600,-44.405
601,-44.3464
602,-44.5131
603,-44.8301
604,-44.6853
605,-44.9877
606,-44.3922
607,-44.3383
608,-45.4149
609,-44.5311
610,-44.9227
611,-44.9601
612,-45.0986
613,-45.1083
614,-44.6681
615,-44.8607
616,-44.6802
617,-44.6602
618,-45.1426
619,-44.7071
620,-44.1286
621,-45.3542
622,-45.0507
623,-44.6743
624,-45.0638
625,-44.8924
626,-44.8436
627,-44.5209
628,-45.348
629,-45.2727
630,-44.9746
631,-44.8337
632,-44.7294
633,-44.9741
634,-44.7541
635,-45.2661
636,-45.1343
637,-45.4022
638,-44.5381
639,-44.5522
640,-45.15
641,-44.9256
642,-45.0418
643,-44.6953
644,-44.4095
645,-45.0482
646,-44.9412
647,-45.3242
648,-44.6429
649,-44.9425
650,-44.863
651,-44.946
652,-44.5909
653,-44.4863
654,-44.8451
655,-44.7375
656,-45.0771
657,-44.762
658,-44.7986
659,-44.717
660,-44.8394
661,-44.753
662,-45.0453
663,-45.2349
664,-45.4116
665,-45.2264
666,-45.2233
667,-45.4814
668,-44.9903
669,-45.2156
670,-45.075
671,-44.9015
672,-45.0166
673,-44.5918
674,-44.9933
675,-45.3068
676,-44.6647
677,-44.8521
678,-44.6701
679,-44.786
680,-44.9959
681,-44.9692
682,-44.5383
683,-44.9713
684,-45.4622
685,-45.6341
686,-45.2798
687,-44.7402
688,-44.9416
689,-45.0638
690,-45.1173
691,-45.1065
692,-45.105
693,-44.8611
694,-45.1572
695,-45.1119
696,-45.067
697,-45.296
698,-44.5468
699,-44.9719
700,-44.8085
701,-44.9171
702,-45.7542
703,-45.0537
704,-45.4167
705,-44.7178
706,-44.9347
707,-45.4468
708,-45.2313
709,-45.3824
710,-45.021
711,-45.3504
712,-45.268
713,-45.6144
714,-44.8352
715,-45.0895
716,-45.6952
717,-45.1596
718,-45.3563
719,-45.0118
720,-45.0375
721,-45.5915
722,-45.5614
723,-45.0907
724,-45.2513
725,-45.5447
726,-44.9741
727,-44.8268
728,-45.3049
729,-45.6637
730,-45.7643
731,-45.4092
732,-45.0481
733,-45.2806
734,-45.3276
735,-45.2127
736,-46.0183
737,-45.7036
738,-45.5855
739,-45.8671
740,-45.8984
741,-45.1787
742,-45.217
743,-45.5784
744,-45.2771
745,-45.4516
746,-45.3396
747,-45.9199
748,-45.3737
749,-45.0891
750,-45.242
751,-45.151
752,-45.1551
753,-45.5366
754,-45.2929
755,-45.2484
756,-45.7442
757,-45.8802
758,-44.9505
759,-45.4588
760,-45.3534
761,-45.3534
762,-45.8453
763,-45.8236
764,-45.6396
765,-45.3311
766,-45.8808
767,-45.0759
768,-45.0242
769,-45.5134
770,-45.3362
771,-45.2826
772,-45.6181
773,-45.447
774,-45.895
775,-46.3976
776,-45.5316
777,-45.5968
778,-45.4307
779,-45.5022
780,-45.9269
781,-45.4807
782,-45.774
783,-45.837
784,-45.8979
785,-45.695
786,-45.6019
787,-45.9883
788,-45.8748
789,-45.8911
790,-45.5164
791,-46.0903
792,-46.0963
793,-45.5538
794,-45.6134
795,-45.1433
796,-45.8214
797,-45.9093
798,-45.3854
799,-45.2399
800,-44.9962
801,-45.7866
802,-46.2251
803,-46.2871
804,-46.1036
805,-45.4961
806,-46.0527
807,-45.3591
808,-45.9802
809,-46.01
810,-45.4909
811,-45.9681
812,-45.0967
813,-46.0305
814,-45.9448
815,-45.8872
816,-46.2183
817,-45.7182
818,-45.8931
819,-45.9456
820,-45.6577
821,-45.8994
822,-45.7841
823,-45.7918
824,-45.9728
825,-45.9921
826,-46.5669
827,-46.3273
828,-45.5889
829,-45.7662
830,-45.6126
831,-46.0231
832,-45.7528
833,-46.0371
834,-45.2622
835,-45.7677
836,-45.9723
837,-45.6451
838,-46.1906
839,-46.0568
840,-45.5653
841,-45.7001
842,-46.1864
843,-46.2776
844,-45.9602
845,-45.9423
846,-46.1214
847,-46.0869
848,-45.8442
849,-46.0878
850,-46.2101
851,-45.9742
852,-45.6768
853,-46.3188
854,-46.0311
855,-45.9785
856,-46.2083
857,-46.261
858,-46.2309
859,-46.5465
860,-45.5971
861,-46.6578
862,-46.26
863,-46.9087
864,-46.2792
865,-46.2432
866,-45.6799
867,-46.0451
868,-45.9719
869,-46.2634
870,-46.4905
871,-45.8636
872,-45.9812
873,-46.2322
874,-46.12
875,-46.5862
876,-46.0142
877,-46.2412
878,-46.5784
879,-46.2305
880,-46.1916
881,-46.361
882,-46.0464
883,-46.2223
884,-46.3989
885,-46.1749
886,-46.425
887,-46.5807
888,-45.9334
889,-46.3356
890,-46.6946
891,-46.2588
892,-46.5614
893,-46.5271
894,-45.9004
895,-45.9564
896,-46.2252
897,-46.4027
898,-46.318
899,-46.0239
900,-45.7485
901,-46.7804
902,-46.583
903,-46.4729
904,-46.2603
905,-46.645
906,-46.3514
907,-46.2115
908,-46.193
909,-46.4917
910,-46.6565
911,-46.5369
912,-45.9824
913,-46.9877
914,-46.507
915,-46.1084
916,-46.1963
917,-46.7016
918,-46.1062
919,-46.709
920,-46.7366
921,-46.5685
922,-46.6833
923,-46.4007
924,-46.5742
925,-46.523
926,-46.5773
927,-46.919
928,-46.688
929,-46.7754
930,-46.6964
931,-46.5339
932,-47.2948
933,-46.334
934,-46.488
935,-46.6451
936,-46.4093
937,-47.3114
938,-46.5639
939,-46.5785
940,-46.9337
941,-46.3346
942,-46.5713
943,-46.6092
944,-46.8234
945,-46.5285
946,-46.8613
947,-46.7542
948,-46.5699
949,-47.1461
950,-47.0976
951,-46.4595
952,-46.7129
953,-46.6156
954,-47.0198
955,-46.7993
956,-46.6049
957,-46.7273
958,-46.5399
959,-47.2302
960,-46.3982
961,-46.9835
962,-46.8319
963,-46.5004
964,-47.2869
965,-46.5587
966,-46.9265
967,-46.8501
968,-47.0766
969,-46.8977
970,-46.7218
971,-47.0976
972,-46.5467
973,-46.9105
974,-46.3513
975,-48.0253
976,-46.8116
977,-47.2958
978,-47.5932
979,-47.4852
980,-47.0769
981,-47.0771
982,-47.1216
983,-46.8855
984,-47.1825
985,-47.1232
986,-47.1696
987,-47.0933
988,-46.8815
989,-47.0996
990,-46.7126
991,-47.7672
992,-47.7936
993,-47.1822
994,-47.446
995,-47.3033
996,-47.4971
997,-47.2285
998,-47.4367
999,-47.319
1000,-47.3788
1001,-47.1547
1002,-47.2682
1003,-47.2328
1004,-47.1626
1005,-47.3182
1006,-47.3626
1007,-47.4514
1008,-47.4396
1009,-47.1062
1010,-47.4332
1011,-47.3723
1012,-47.6844
1013,-47.383
1014,-47.0442
1015,-47.4582
1016,-47.473
1017,-47.716
1018,-47.4536
1019,-47.4135
1020,-47.3104
1021,-47.482
1022,-47.5637
1023,-47.4431
1024,-47.7675
1025,-47.5729
1026,-47.6204
