Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
774,-43.9313
775,-43.7449
776,-44.4432
777,-44.4139
778,-44.7683
779,-44.3597
780,-44.6259
781,-44.4882
782,-44.4204
783,-44.5617
784,-44.496
785,-43.6902
786,-44.4152
787,-44.3367
788,-44.2319
789,-44.4178
790,-44.2749
791,-43.7446
792,-43.9527
793,-43.9269
794,-44.0489
795,-44.3169
796,-44.719
797,-44.3422
798,-43.9841
799,-44.052
800,-44.4172
801,-44.1986
802,-44.5333
803,-44.4943
804,-44.4547
805,-44.075
806,-44.3339
807,-44.483
808,-44.2151
809,-44.0817
810,-44.4111
811,-43.9668
812,-44.0179
813,-44.2395
814,-44.2608
815,-44.6347
816,-44.3468
817,-43.7928
818,-44.6949
819,-44.2182
820,-44.6355
821,-43.5641
822,-44.2016
823,-44.0513
824,-44.4405
825,-43.8718
826,-44.1786
827,-44.1599
828,-44.5672
829,-43.9507
830,-44.0571
831,-44.4755
832,-43.9971
833,-43.7676
834,-44.5154
835,-44.035
836,-44.0694
837,-44.6141
838,-44.406
839,-44.2526
840,-43.9058
841,-44.0929
842,-44.3198
843,-44.3557
844,-43.992
845,-44.2688
846,-44.4441
847,-44.4929
848,-44.4758
849,-43.8506
850,-44.2605
851,-44.3945
852,-43.6016
853,-43.8962
854,-44.7428
855,-44.2706
856,-44.1871
857,-44.1266
858,-43.9533
859,-43.8713
860,-44.2357
861,-44.1853
862,-44.0415
863,-44.3376
864,-44.5231
865,-43.4869
866,-44.1128
867,-44.4506
868,-43.8658
869,-44.248
870,-44.3925
871,-44.2324
872,-44.4245
873,-44.4487
874,-44.8366
875,-43.9534
876,-44.1924
877,-44.7739
878,-44.6967
879,-44.1575
880,-44.2621
881,-43.9586
882,-43.915
883,-44.1549
884,-44.2085
885,-44.2885
886,-44.3124
887,-44.5209
888,-44.3995
889,-43.6539
890,-44.4471
891,-45.0288
892,-44.2922
893,-44.2398
894,-44.3522
895,-44.2239
896,-44.3307
897,-44.2399
898,-44.1412
899,-43.7249
900,-44.0877
901,-43.778
902,-44.3967
903,-44.311
904,-44.3166
905,-44.3765
906,-44.3852
907,-44.2343
908,-44.561
909,-44.4074
910,-44.9544
911,-44.5581
912,-44.4375
913,-44.3142
914,-44.3075
915,-44.5339
916,-44.8164
917,-44.0251
918,-44.556
919,-44.154
920,-43.8239
921,-44.362
922,-44.9217
923,-44.3553
924,-44.1267
925,-44.6338
926,-44.8667
927,-44.2535
928,-44.0665
929,-44.644
930,-44.5778
931,-44.1561
932,-44.8218
933,-44.1695
934,-43.9975
935,-44.6816
936,-44.0645
937,-44.091
938,-44.5521
939,-44.4845
940,-44.0976
941,-44.0062
942,-44.6309
943,-44.3774
944,-44.2751
945,-44.1434
946,-43.8504
947,-44.415
948,-44.3416
949,-44.0653
950,-44.5841
951,-44.0331
952,-44.3879
953,-44.0947
954,-43.8937
955,-44.5802
956,-44.2363
957,-44.6895
958,-44.1762
959,-44.0508
960,-44.2786
961,-43.9671
962,-43.9404
963,-44.1104
964,-44.6311
965,-44.3226
966,-44.1904
967,-44.6316
968,-44.2203
969,-44.5599
970,-44.2795
971,-44.2484
972,-44.4973
973,-44.1763
974,-43.9048
975,-43.8466
976,-43.8318
977,-43.9199
978,-44.2864
979,-44.5271
980,-44.1693
981,-44.6824
982,-44.2125
983,-44.5016
984,-44.4025
985,-43.8102
986,-44.6901
987,-44.025
988,-43.8726
989,-44.9156
990,-44.6363
991,-44.1548
992,-44.7564
993,-44.5748
994,-44.5262
995,-44.5496
996,-44.3752
997,-44.1133
998,-45.0067
999,-44.4227
1000,-44.2398
1001,-44.0156
1002,-44.2134
1003,-44.4005
1004,-44.0431
1005,-44.437
1006,-44.2654
1007,-44.4678
1008,-43.8046
1009,-44.3131
1010,-44.5148
1011,-44.3394
1012,-44.7257
1013,-44.8618
1014,-44.1637
1015,-44.1141
1016,-44.4294
1017,-43.8419
1018,-44.5767
1019,-43.5311
1020,-44.1863
1021,-44.122
1022,-44.2913
1023,-44.1836
1024,-43.806
1025,-44.359
1026,-44.4848
1027,-44.2568
1028,-44.3767
1029,-44.6426
1030,-44.1979
1031,-44.3991
1032,-44.1477
1033,-44.3789
1034,-44.7097
1035,-44.4538
1036,-44.0785
1037,-44.1041
1038,-43.9017
1039,-44.3043
1040,-44.4032
1041,-44.2131
1042,-43.931
1043,-44.1382
1044,-44.2748
1045,-44.1527
1046,-44.5834
1047,-44.1535
1048,-44.2675
1049,-44.6917
1050,-44.1337
1051,-43.9829
1052,-44.2841
1053,-44.773
1054,-43.8897
1055,-43.8467
1056,-44.1293
1057,-44.2746
1058,-44.7366
1059,-44.4327
1060,-43.6438
1061,-44.4523
1062,-44.3322
1063,-44.174
1064,-44.2358
1065,-44.4481
1066,-44.7361
1067,-43.5302
1068,-44.2497
1069,-44.3357
1070,-43.8571
1071,-44.6008
1072,-44.3814
1073,-44.4317
1074,-44.6496
1075,-43.8903
1076,-44.6209
1077,-43.9781
1078,-43.8792
1079,-44.354
1080,-44.3083
1081,-44.3078
1082,-44.3108
1083,-44.594
1084,-44.1744
1085,-44.3482
1086,-44.415
1087,-44.3113
1088,-44.198
1089,-44.0482
1090,-44.5284
1091,-44.1797
1092,-44.3961
1093,-44.8268
1094,-44.3164
1095,-44.2156
1096,-44.2713
1097,-44.6644
1098,-44.3861
1099,-44.5089
1100,-44.1973
1101,-44.4865
1102,-44.085
1103,-44.4908
1104,-43.7624
1105,-44.3886
1106,-44.17
1107,-44.0579
1108,-44.3779
1109,-44.1028
1110,-44.5291
1111,-44.4711
1112,-44.4637
1113,-44.3709
1114,-44.5559
1115,-44.7208
1116,-44.2002
1117,-44.5381
1118,-44.287
1119,-43.9613
1120,-44.4135
1121,-44.4257
1122,-44.4385
1123,-44.2104
1124,-44.378
1125,-44.1265
1126,-44.3764
1127,-44.7356
1128,-44.2597
1129,-44.3263
1130,-44.6061
1131,-44.239
1132,-44.74
1133,-43.7895
1134,-43.8645
1135,-44.3963
1136,-44.2352
1137,-44.6267
1138,-43.9979
1139,-43.8581
1140,-44.371
1141,-44.574
1142,-44.0319
1143,-44.7488
1144,-44.5965
1145,-44.3644
1146,-43.9547
1147,-44.3648
1148,-44.5673
1149,-44.9765
1150,-44.4346
1151,-44.4046
1152,-43.5999
1153,-44.6043
1154,-44.2023
1155,-44.5964
1156,-44.501
1157,-44.5192
1158,-44.4297
1159,-44.2176
1160,-44.5765
1161,-44.3931
1162,-44.7413
1163,-43.4858
1164,-44.6272
1165,-44.426
1166,-44.0744
1167,-44.9112
1168,-44.5427
1169,-44.9994
1170,-44.7309
1171,-44.7542
1172,-44.6129
1173,-44.0533
1174,-44.4242
1175,-43.7318
1176,-44.2311
1177,-44.2406
1178,-44.7852
1179,-43.8049
1180,-44.2398
1181,-44.4463
1182,-44.0142
1183,-44.1628
1184,-44.2867
1185,-44.2944
1186,-44.2934
1187,-44.3188
1188,-44.6368
1189,-44.582
1190,-44.7658
1191,-44.4115
1192,-44.5493
1193,-44.1708
1194,-44.09
1195,-43.9037
1196,-44.0989
1197,-44.4258
1198,-44.2165
1199,-44.5832
1200,-44.3441
1201,-44.4656
1202,-44.7855
1203,-44.1087
1204,-44.554
1205,-44.2684
1206,-44.6223
1207,-44.4218
1208,-44.4247
1209,-44.0551
1210,-44.5673
1211,-44.7353
1212,-44.3289
1213,-44.2513
1214,-44.0818
1215,-44.4966
1216,-44.4353
1217,-44.6031
1218,-44.7983
1219,-44.0076
1220,-43.7561
1221,-44.6429
1222,-44.1834
1223,-44.5788
1224,-44.7107
1225,-44.396
1226,-44.3398
1227,-44.5678
1228,-44.2998
1229,-44.4451
1230,-44.0422
1231,-44.2538
1232,-44.5208
1233,-44.3041
1234,-44.1883
1235,-44.5253
1236,-44.8315
1237,-44.9891
1238,-44.2579
1239,-44.6012
1240,-43.9874
1241,-44.4303
1242,-44.0568
1243,-44.5709
1244,-44.4412
1245,-44.1371
1246,-44.1121
1247,-43.6758
1248,-44.0882
1249,-44.1364
1250,-44.8101
1251,-43.9401
1252,-44.1632
1253,-44.6712
1254,-44.4851
1255,-44.3553
1256,-44.6433
1257,-43.9718
1258,-44.6738
1259,-44.7416
1260,-44.5252
1261,-44.1525
1262,-44.4217
1263,-45.067
1264,-44.5945
1265,-44.0725
1266,-44.7959
